read_ID,start,length
M04808:132:000000000-CTP75:1:2107:6308:10090,5248150,1220
M04808:132:000000000-CTP75:1:2107:8333:10820,5248232,1099
M04808:132:000000000-CTP75:1:2107:25217:9803,5247187,1046
M04808:132:000000000-CTP75:1:2107:26939:10746,5246816,1427
M04808:132:000000000-CTP75:1:2107:18718:10899,5247919,383
M04808:132:000000000-CTP75:1:2107:3096:10914,5248222,1604
M04808:132:000000000-CTP75:1:2107:16899:11378,5246788,2167
M04808:132:000000000-CTP75:1:2107:20351:11767,5248194,412
M04808:132:000000000-CTP75:1:2107:29060:11768,5248227,2527
M04808:132:000000000-CTP75:1:2107:23881:11169,5246401,1831
M04808:132:000000000-CTP75:1:2107:24178:11361,5248229,260
M04808:132:000000000-CTP75:1:2107:13745:11749,5248224,1398
M04808:132:000000000-CTP75:1:2107:20353:12071,5248225,289
M04808:132:000000000-CTP75:1:2107:27293:12326,5247129,1103
M04808:132:000000000-CTP75:1:2107:29535:12525,5248227,261
M04808:132:000000000-CTP75:1:2107:12347:12420,5248232,313
M04808:132:000000000-CTP75:1:2107:22537:12687,5247890,353
M04808:132:000000000-CTP75:1:2107:29527:12130,5248222,709
M04808:132:000000000-CTP75:1:2107:2870:12873,5248120,386
M04808:132:000000000-CTP75:1:2107:28665:12959,5247920,312
M04808:132:000000000-CTP75:1:2107:24120:13177,5247712,520
M04808:132:000000000-CTP75:1:2107:23446:13759,5247891,341
M04808:132:000000000-CTP75:1:2107:16667:13767,5245975,2259
M04808:132:000000000-CTP75:1:2107:8746:13672,5247947,286
M04808:132:000000000-CTP75:1:2107:20136:13335,5248232,746
M04808:132:000000000-CTP75:1:2107:10461:13620,5248225,946
M04808:132:000000000-CTP75:1:2107:3810:13629,5246401,1831
M04808:132:000000000-CTP75:1:2107:10794:13630,5247706,1425
M04808:132:000000000-CTP75:1:2107:13413:14190,5248226,1038
M04808:132:000000000-CTP75:1:2107:17366:14199,5247969,496
M04808:132:000000000-CTP75:1:2107:13240:14459,5247175,1472
M04808:132:000000000-CTP75:1:2107:8767:14516,5246690,1542
M04808:132:000000000-CTP75:1:2107:6246:14781,5246690,2403
M04808:132:000000000-CTP75:1:2107:15722:14372,5247174,1058
M04808:132:000000000-CTP75:1:2107:8576:14693,5247175,1472
M04808:132:000000000-CTP75:1:2107:6108:15077,5248230,1115
M04808:132:000000000-CTP75:1:2107:29179:14762,5248228,375
M04808:132:000000000-CTP75:1:2107:20711:14955,5247389,2063
M04808:132:000000000-CTP75:1:2107:6523:14905,5248227,1602
M04808:132:000000000-CTP75:1:2107:8666:15116,5247092,1340
M04808:132:000000000-CTP75:1:2107:5107:15341,5247486,757
M04808:132:000000000-CTP75:1:2107:11497:15350,5248226,1272
M04808:132:000000000-CTP75:1:2107:20388:14559,5247753,479
M04808:132:000000000-CTP75:1:2107:13259:15725,5246376,1889
M04808:132:000000000-CTP75:1:2107:26588:15584,5245975,2259
M04808:132:000000000-CTP75:1:2107:11925:15370,5246462,1935
M04808:132:000000000-CTP75:1:2107:24438:15866,5248035,249
M04808:132:000000000-CTP75:1:2107:14189:15878,5247487,805
M04808:132:000000000-CTP75:1:2107:2539:15695,5248228,238
M04808:132:000000000-CTP75:1:2107:4754:15199,5247800,433
M04808:132:000000000-CTP75:1:2107:28963:15756,5247790,453
M04808:132:000000000-CTP75:1:2107:24197:16023,5247390,1495
M04808:132:000000000-CTP75:1:2107:25732:16273,5247602,1440
M04808:132:000000000-CTP75:1:2107:14753:15967,5246637,1656
M04808:132:000000000-CTP75:1:2107:24060:15603,5248212,360
M04808:132:000000000-CTP75:1:2107:25641:16617,5247947,286
M04808:132:000000000-CTP75:1:2107:3227:16203,5247634,598
M04808:132:000000000-CTP75:1:2107:23583:16564,5247977,255
M04808:132:000000000-CTP75:1:2107:15968:16928,5246426,3923
M04808:132:000000000-CTP75:1:2107:19813:17111,5248199,2543
M04808:132:000000000-CTP75:1:2107:18121:17000,5247174,1058
M04808:132:000000000-CTP75:1:2107:18914:17334,5247436,796
M04808:132:000000000-CTP75:1:2107:24058:17649,5248214,341
M04808:132:000000000-CTP75:1:2107:23756:18004,5246637,1656
M04808:132:000000000-CTP75:1:2107:16717:16672,5247784,540
M04808:132:000000000-CTP75:1:2107:15042:17953,5247977,301
M04808:132:000000000-CTP75:1:2107:18281:17389,5247675,557
M04808:132:000000000-CTP75:1:2107:3184:18162,5247888,344
M04808:132:000000000-CTP75:1:2107:27694:18367,5248092,858
M04808:132:000000000-CTP75:1:2107:15463:18340,5248228,419
M04808:132:000000000-CTP75:1:2107:19983:18635,5248227,523
M04808:132:000000000-CTP75:1:2107:12480:18572,5248025,207
M04808:132:000000000-CTP75:1:2107:16486:19011,5247328,1052
M04808:132:000000000-CTP75:1:2107:6333:19385,5248229,1245
M04808:132:000000000-CTP75:1:2107:27731:19403,5247361,871
M04808:132:000000000-CTP75:1:2107:20394:19415,5246280,1963
M04808:132:000000000-CTP75:1:2107:14834:19162,5247627,608
M04808:132:000000000-CTP75:1:2107:8915:19191,5248230,474
M04808:132:000000000-CTP75:1:2107:22768:19209,5248229,1568
M04808:132:000000000-CTP75:1:2107:7110:19855,5247174,1058
M04808:132:000000000-CTP75:1:2107:7408:19656,5247874,1678
M04808:132:000000000-CTP75:1:2107:5935:19823,5247872,360
M04808:132:000000000-CTP75:1:2107:12939:19534,5247782,450
M04808:132:000000000-CTP75:1:2107:10965:20406,5246426,3923
M04808:132:000000000-CTP75:1:2107:11526:20440,5247601,632
M04808:132:000000000-CTP75:1:2107:10428:19964,5246907,3614
M04808:132:000000000-CTP75:1:2107:6583:20393,5248230,731
M04808:132:000000000-CTP75:1:2107:24338:21834,5247917,318
M04808:132:000000000-CTP75:1:2107:17191:21879,5247140,1455
M04808:132:000000000-CTP75:1:2107:17481:21957,5248229,432
M04808:132:000000000-CTP75:1:2107:15855:22284,5248230,2524
M04808:132:000000000-CTP75:1:2107:16777:22806,5247890,353
M04808:132:000000000-CTP75:1:2107:14584:22940,5248546,1007
M04808:132:000000000-CTP75:1:2107:11930:23203,5248223,887
M04808:132:000000000-CTP75:1:2107:14917:22518,5248226,954
M04808:132:000000000-CTP75:1:2107:21292:23264,5245955,3777
M04808:132:000000000-CTP75:1:2107:20075:23341,5248229,1245
M04808:132:000000000-CTP75:1:2107:18748:23558,5246166,2068
M04808:132:000000000-CTP75:1:2106:18876:2229,5247919,383
M04808:132:000000000-CTP75:1:2107:20652:24500,5248201,757
M04808:132:000000000-CTP75:1:2106:14260:2113,5246827,2470
M04808:132:000000000-CTP75:1:2107:9414:24107,5248217,711
M04808:132:000000000-CTP75:1:2107:21380:24111,5248230,2327
M04808:132:000000000-CTP75:1:2107:23761:24639,5248223,238
M04808:132:000000000-CTP75:1:2106:15376:2623,5248222,319
M04808:132:000000000-CTP75:1:2106:10648:2558,5247926,1408
M04808:132:000000000-CTP75:1:2106:24270:3170,5246258,1975
M04808:132:000000000-CTP75:1:2106:17996:3493,5248223,203
M04808:132:000000000-CTP75:1:2106:8603:3412,5246976,1259
M04808:132:000000000-CTP75:1:2106:9383:3425,5246351,1884
M04808:132:000000000-CTP75:1:2106:12414:3320,5248218,321
M04808:132:000000000-CTP75:1:2106:24763:3321,5246816,1427
M04808:132:000000000-CTP75:1:2106:11022:3638,5246584,1649
M04808:132:000000000-CTP75:1:2106:23840:3655,5248230,411
M04808:132:000000000-CTP75:1:2106:10463:3360,5247165,1070
M04808:132:000000000-CTP75:1:2106:20365:3990,5248226,902
M04808:132:000000000-CTP75:1:2106:10408:3906,5245727,3837
M04808:132:000000000-CTP75:1:2106:15576:4188,5247800,433
M04808:132:000000000-CTP75:1:2107:21558:24936,5248412,974
M04808:132:000000000-CTP75:1:2106:4829:4596,5248229,2300
M04808:132:000000000-CTP75:1:2106:16289:4998,5246827,2470
M04808:132:000000000-CTP75:1:2106:14499:5073,5248227,394
M04808:132:000000000-CTP75:1:2106:14312:5540,5248230,846
M04808:132:000000000-CTP75:1:2106:13457:6195,5246011,2225
M04808:132:000000000-CTP75:1:2106:15428:6203,5247630,602
M04808:132:000000000-CTP75:1:2106:13514:5583,5247879,2959
M04808:132:000000000-CTP75:1:2106:17330:5411,5248225,906
M04808:132:000000000-CTP75:1:2106:10349:5416,5247671,561
M04808:132:000000000-CTP75:1:2106:16234:5717,5246102,2130
M04808:132:000000000-CTP75:1:2106:6378:5721,5245955,3777
M04808:132:000000000-CTP75:1:2106:7682:5895,5247855,377
M04808:132:000000000-CTP75:1:2106:8695:6352,5248221,353
M04808:132:000000000-CTP75:1:2106:14767:6266,5247790,1203
M04808:132:000000000-CTP75:1:2106:22265:6540,5246637,1656
M04808:132:000000000-CTP75:1:2106:26428:6645,5248232,746
M04808:132:000000000-CTP75:1:2106:13188:6288,5248230,1115
M04808:132:000000000-CTP75:1:2106:8170:5822,5247790,444
M04808:132:000000000-CTP75:1:2106:15985:5841,5247602,634
M04808:132:000000000-CTP75:1:2106:21507:6723,5247928,304
M04808:132:000000000-CTP75:1:2106:27657:6741,5248222,834
M04808:132:000000000-CTP75:1:2106:18701:6892,5248230,270
M04808:132:000000000-CTP75:1:2106:6449:5986,5248229,1568
M04808:132:000000000-CTP75:1:2106:25972:7018,5248233,1012
M04808:132:000000000-CTP75:1:2106:13700:7645,5248177,524
M04808:132:000000000-CTP75:1:2106:23829:7759,5248228,440
M04808:132:000000000-CTP75:1:2106:5112:7779,5248217,711
M04808:132:000000000-CTP75:1:2106:19556:8419,5247879,354
M04808:132:000000000-CTP75:1:2106:22394:8530,5247562,830
M04808:132:000000000-CTP75:1:2106:13346:8011,5247800,897
M04808:132:000000000-CTP75:1:2106:13292:8589,5248231,1154
M04808:132:000000000-CTP75:1:2106:7725:9913,5247956,291
M04808:132:000000000-CTP75:1:2106:10157:9440,5248058,897
M04808:132:000000000-CTP75:1:2106:9081:9449,5248230,736
M04808:132:000000000-CTP75:1:2106:15810:10017,5247971,260
M04808:132:000000000-CTP75:1:2106:15846:10512,5248228,1421
M04808:132:000000000-CTP75:1:2106:15577:10550,5247356,1047
M04808:132:000000000-CTP75:1:2106:19189:10495,5248202,499
M04808:132:000000000-CTP75:1:2106:9281:10759,5247977,301
M04808:132:000000000-CTP75:1:2106:18767:11042,5248334,787
M04808:132:000000000-CTP75:1:2106:15625:11263,5247919,383
M04808:132:000000000-CTP75:1:2106:27005:11080,5248228,330
M04808:132:000000000-CTP75:1:2106:17553:11299,5248222,709
M04808:132:000000000-CTP75:1:2106:21564:11685,5245876,2356
M04808:132:000000000-CTP75:1:2106:15379:12176,5246947,2133
M04808:132:000000000-CTP75:1:2106:24898:12048,5248227,1602
M04808:132:000000000-CTP75:1:2106:20776:11101,5248229,390
M04808:132:000000000-CTP75:1:2106:23080:12405,5247590,643
M04808:132:000000000-CTP75:1:2106:19917:12947,5248229,358
M04808:132:000000000-CTP75:1:2106:4622:13088,5248038,205
M04808:132:000000000-CTP75:1:2106:16572:13320,5247952,280
M04808:132:000000000-CTP75:1:2106:8594:13446,5247590,644
M04808:132:000000000-CTP75:1:2106:28789:13455,5247915,836
M04808:132:000000000-CTP75:1:2106:12481:12276,5246788,2167
M04808:132:000000000-CTP75:1:2106:27496:13480,5248226,214
M04808:132:000000000-CTP75:1:2106:7771:13750,5248218,728
M04808:132:000000000-CTP75:1:2106:12511:13797,5248226,692
M04808:132:000000000-CTP75:1:2106:6858:13810,5248224,378
M04808:132:000000000-CTP75:1:2106:16811:13704,5247331,912
M04808:132:000000000-CTP75:1:2106:25140:13709,5247390,1495
M04808:132:000000000-CTP75:1:2106:27915:14736,5246280,1963
M04808:132:000000000-CTP75:1:2106:14036:14435,5247696,676
M04808:132:000000000-CTP75:1:2106:5604:14844,5248231,1154
M04808:132:000000000-CTP75:1:2106:15880:15237,5247704,1270
M04808:132:000000000-CTP75:1:2106:11467:14909,5248206,859
M04808:132:000000000-CTP75:1:2106:16513:14922,5247730,502
M04808:132:000000000-CTP75:1:2106:15213:15649,5246158,2085
M04808:132:000000000-CTP75:1:2106:5135:15649,5248230,2327
M04808:132:000000000-CTP75:1:2106:6231:15584,5247643,589
M04808:132:000000000-CTP75:1:2106:3614:15706,5247189,1044
M04808:132:000000000-CTP75:1:2106:6721:15921,5247833,399
M04808:132:000000000-CTP75:1:2106:29237:15271,5247833,403
M04808:132:000000000-CTP75:1:2106:15469:16553,5246727,2283
M04808:132:000000000-CTP75:1:2106:5853:16589,5248226,849
M04808:132:000000000-CTP75:1:2106:27305:16798,5247550,1131
M04808:132:000000000-CTP75:1:2106:6794:17165,5247700,1145
M04808:132:000000000-CTP75:1:2106:8476:16854,5247321,923
M04808:132:000000000-CTP75:1:2106:10054:17322,5247977,255
M04808:132:000000000-CTP75:1:2106:20909:15884,5248217,886
M04808:132:000000000-CTP75:1:2106:21364:15384,5247788,455
M04808:132:000000000-CTP75:1:2106:26064:17628,5246947,2071
M04808:132:000000000-CTP75:1:2106:17249:16865,5248227,825
M04808:132:000000000-CTP75:1:2106:21156:17288,5246360,2240
M04808:132:000000000-CTP75:1:2106:20791:17487,5247813,419
M04808:132:000000000-CTP75:1:2106:7153:18030,5246764,1472
M04808:132:000000000-CTP75:1:2106:21108:18178,5247706,1425
M04808:132:000000000-CTP75:1:2106:9119:18215,5246829,1853
M04808:132:000000000-CTP75:1:2106:25613:18485,5247189,1044
M04808:132:000000000-CTP75:1:2106:28435:18907,5248229,328
M04808:132:000000000-CTP75:1:2106:8889:17901,5248227,1680
M04808:132:000000000-CTP75:1:2106:14401:19067,5246102,2130
M04808:132:000000000-CTP75:1:2106:11572:19024,5248232,746
M04808:132:000000000-CTP75:1:2106:11002:19745,5247989,244
M04808:132:000000000-CTP75:1:2106:16026:19196,5248228,238
M04808:132:000000000-CTP75:1:2106:23375:19689,5247665,567
M04808:132:000000000-CTP75:1:2106:12346:19313,5247683,549
M04808:132:000000000-CTP75:1:2106:13175:20411,5247822,408
M04808:132:000000000-CTP75:1:2106:7274:20443,5247952,709
M04808:132:000000000-CTP75:1:2106:23187:20612,5247888,344
M04808:132:000000000-CTP75:1:2106:25381:19833,5248217,711
M04808:132:000000000-CTP75:1:2106:6979:20237,5248202,499
M04808:132:000000000-CTP75:1:2106:26852:20091,5248226,533
M04808:132:000000000-CTP75:1:2106:6062:20096,5247961,271
M04808:132:000000000-CTP75:1:2106:15842:20186,5248194,471
M04808:132:000000000-CTP75:1:2106:22741:20256,5248226,2321
M04808:132:000000000-CTP75:1:2106:8045:20956,5247784,448
M04808:132:000000000-CTP75:1:2106:26352:21303,5248229,314
M04808:132:000000000-CTP75:1:2106:12537:21327,5248228,238
M04808:132:000000000-CTP75:1:2106:22910:21328,5248222,424
M04808:132:000000000-CTP75:1:2106:26323:21191,5248184,1528
M04808:132:000000000-CTP75:1:2106:22206:21134,5248226,902
M04808:132:000000000-CTP75:1:2106:8328:21397,5247883,349
M04808:132:000000000-CTP75:1:2106:6810:20616,5247389,2063
M04808:132:000000000-CTP75:1:2106:19685:21979,5247937,306
M04808:132:000000000-CTP75:1:2106:17313:22242,5248058,897
M04808:132:000000000-CTP75:1:2106:24958:22688,5247661,1110
M04808:132:000000000-CTP75:1:2106:19663:22765,5247969,1624
M04808:132:000000000-CTP75:1:2106:23049:21956,5248228,492
M04808:132:000000000-CTP75:1:2106:7121:22477,5246462,1935
M04808:132:000000000-CTP75:1:2106:9137:22187,5247331,905
M04808:132:000000000-CTP75:1:2106:23042:22911,5247921,313
M04808:132:000000000-CTP75:1:2106:11856:22922,5246426,3923
M04808:132:000000000-CTP75:1:2106:18455:22929,5246500,1741
M04808:132:000000000-CTP75:1:2106:22374:23069,5248228,346
M04808:132:000000000-CTP75:1:2106:24796:23552,5247881,351
M04808:132:000000000-CTP75:1:2106:8414:23579,5246462,1935
M04808:132:000000000-CTP75:1:2106:19831:20709,5247937,306
M04808:132:000000000-CTP75:1:2106:25652:22866,5247661,1110
M04808:132:000000000-CTP75:1:2106:20756:22887,5248230,540
M04808:132:000000000-CTP75:1:2106:24035:23166,5247766,467
M04808:132:000000000-CTP75:1:2106:15331:23028,5248033,272
M04808:132:000000000-CTP75:1:2106:21906:24093,5246816,1427
M04808:132:000000000-CTP75:1:2106:7069:24098,5247898,334
M04808:132:000000000-CTP75:1:2106:8876:24144,5247971,260
M04808:132:000000000-CTP75:1:2106:23110:22790,5247935,481
M04808:132:000000000-CTP75:1:2109:8043:2137,5248230,2288
M04808:132:000000000-CTP75:1:2109:11537:2046,5245955,3777
M04808:132:000000000-CTP75:1:2109:7232:2596,5248229,532
M04808:132:000000000-CTP75:1:2109:11019:2626,5248229,2300
M04808:132:000000000-CTP75:1:2106:15563:24922,5247821,1197
M04808:132:000000000-CTP75:1:2109:20022:2821,5247729,504
M04808:132:000000000-CTP75:1:2109:6720:3259,5246447,1786
M04808:132:000000000-CTP75:1:2109:20891:2991,5246764,1472
M04808:132:000000000-CTP75:1:2109:17088:3063,5246963,1281
M04808:132:000000000-CTP75:1:2109:20838:4025,5247641,1721
M04808:132:000000000-CTP75:1:2109:5024:4454,5247174,1058
M04808:132:000000000-CTP75:1:2109:18657:4869,5246351,1884
M04808:132:000000000-CTP75:1:2109:5044:4500,5247882,1102
M04808:132:000000000-CTP75:1:2109:7793:4860,5245994,2238
M04808:132:000000000-CTP75:1:2109:21176:4684,5248232,1406
M04808:132:000000000-CTP75:1:2109:17562:4708,5246426,3923
M04808:132:000000000-CTP75:1:2109:26896:5337,5248069,205
M04808:132:000000000-CTP75:1:2109:5115:4789,5246814,1418
M04808:132:000000000-CTP75:1:2109:13854:5206,5248226,1155
M04808:132:000000000-CTP75:1:2109:26507:5000,5246426,3923
M04808:132:000000000-CTP75:1:2109:16944:5393,5248230,731
M04808:132:000000000-CTP75:1:2109:20645:5633,5247847,396
M04808:132:000000000-CTP75:1:2109:6748:5697,5248028,204
M04808:132:000000000-CTP75:1:2109:23380:5792,5248229,390
M04808:132:000000000-CTP75:1:2109:17360:6138,5247857,373
M04808:132:000000000-CTP75:1:2109:21364:5893,5247797,435
M04808:132:000000000-CTP75:1:2109:21652:6271,5248229,791
M04808:132:000000000-CTP75:1:2109:14297:6295,5248225,1635
M04808:132:000000000-CTP75:1:2109:22218:6363,5247486,757
M04808:132:000000000-CTP75:1:2109:15362:6494,5248227,323
M04808:132:000000000-CTP75:1:2109:13545:6542,5247603,633
M04808:132:000000000-CTP75:1:2109:6015:6981,5246102,2130
M04808:132:000000000-CTP75:1:2109:8546:6931,5248202,499
M04808:132:000000000-CTP75:1:2109:27989:7398,5247694,549
M04808:132:000000000-CTP75:1:2109:27987:7063,5248229,666
M04808:132:000000000-CTP75:1:2109:24440:7189,5246462,1935
M04808:132:000000000-CTP75:1:2109:23089:7213,5247511,725
M04808:132:000000000-CTP75:1:2109:19510:7225,5248230,698
M04808:132:000000000-CTP75:1:2109:27213:7255,5247606,1150
M04808:132:000000000-CTP75:1:2109:5589:7569,5247602,1440
M04808:132:000000000-CTP75:1:2109:6078:5924,5248184,1528
M04808:132:000000000-CTP75:1:2109:13913:7860,5247265,1366
M04808:132:000000000-CTP75:1:2109:9707:8162,5247884,353
M04808:132:000000000-CTP75:1:2109:21620:7680,5248225,790
M04808:132:000000000-CTP75:1:2109:14237:8459,5248230,847
M04808:132:000000000-CTP75:1:2109:15855:8583,5246426,3923
M04808:132:000000000-CTP75:1:2109:17024:8645,5248225,1635
M04808:132:000000000-CTP75:1:2109:14698:8724,5247175,1472
M04808:132:000000000-CTP75:1:2109:7698:8997,5248230,788
M04808:132:000000000-CTP75:1:2109:16727:8931,5247988,244
M04808:132:000000000-CTP75:1:2109:26328:9074,5247016,1214
M04808:132:000000000-CTP75:1:2109:18398:9028,5248206,927
M04808:132:000000000-CTP75:1:2109:7583:9187,5248231,2119
M04808:132:000000000-CTP75:1:2109:6109:9305,5246690,2254
M04808:132:000000000-CTP75:1:2109:5442:9317,5247882,1102
M04808:132:000000000-CTP75:1:2109:6118:7720,5247843,389
M04808:132:000000000-CTP75:1:2109:19651:9365,5248228,238
M04808:132:000000000-CTP75:1:2109:21831:9275,5248231,2119
M04808:132:000000000-CTP75:1:2109:20853:9367,5247833,399
M04808:132:000000000-CTP75:1:2109:27615:9630,5248225,946
M04808:132:000000000-CTP75:1:2109:8048:9517,5247940,1350
M04808:132:000000000-CTP75:1:2109:10671:9598,5247627,608
M04808:132:000000000-CTP75:1:2109:27332:9847,5247246,987
M04808:132:000000000-CTP75:1:2109:16500:9847,5247671,561
M04808:132:000000000-CTP75:1:2109:27656:10247,5248175,446
M04808:132:000000000-CTP75:1:2109:2991:9820,5246258,1975
M04808:132:000000000-CTP75:1:2109:18984:10586,5247970,262
M04808:132:000000000-CTP75:1:2109:16563:10162,5247941,291
M04808:132:000000000-CTP75:1:2109:8809:10177,5247597,944
M04808:132:000000000-CTP75:1:2109:13906:10432,5247849,579
M04808:132:000000000-CTP75:1:2109:19217:9962,5247656,576
M04808:132:000000000-CTP75:1:2109:4727:10513,5248229,897
M04808:132:000000000-CTP75:1:2109:3726:10966,5247631,601
M04808:132:000000000-CTP75:1:2109:23475:8230,5246166,2068
M04808:132:000000000-CTP75:1:2109:28933:11106,5246172,4432
M04808:132:000000000-CTP75:1:2109:16296:11335,5248230,2524
M04808:132:000000000-CTP75:1:2109:7462:11070,5248181,1271
M04808:132:000000000-CTP75:1:2109:4925:11227,5247600,1529
M04808:132:000000000-CTP75:1:2109:9790:11429,5247755,477
M04808:132:000000000-CTP75:1:2109:24660:11281,5248224,378
M04808:132:000000000-CTP75:1:2109:25607:11308,5248194,446
M04808:132:000000000-CTP75:1:2109:4033:9904,5247246,987
M04808:132:000000000-CTP75:1:2109:16572:12065,5248230,766
M04808:132:000000000-CTP75:1:2109:26446:10663,5247677,646
M04808:132:000000000-CTP75:1:2109:10286:10921,5248228,338
M04808:132:000000000-CTP75:1:2109:10361:10939,5247023,2872
M04808:132:000000000-CTP75:1:2109:23242:12020,5246376,1889
M04808:132:000000000-CTP75:1:2109:24118:12020,5248222,424
M04808:132:000000000-CTP75:1:2109:28523:11917,5246560,1669
M04808:132:000000000-CTP75:1:2109:15061:12367,5247759,473
M04808:132:000000000-CTP75:1:2109:18797:12555,5248222,834
M04808:132:000000000-CTP75:1:2109:1992:11801,5246907,3614
M04808:132:000000000-CTP75:1:2109:3810:12251,5248230,2524
M04808:132:000000000-CTP75:1:2109:17785:12260,5248227,249
M04808:132:000000000-CTP75:1:2109:18241:12455,5248178,882
M04808:132:000000000-CTP75:1:2109:25087:12474,5247603,1152
M04808:132:000000000-CTP75:1:2109:27363:12746,5248168,675
M04808:132:000000000-CTP75:1:2109:13408:12758,5247436,796
M04808:132:000000000-CTP75:1:2109:2115:12768,5248218,728
M04808:132:000000000-CTP75:1:2109:9035:12420,5245970,3587
M04808:132:000000000-CTP75:1:2109:13060:12424,5246189,2043
M04808:132:000000000-CTP75:1:2109:7116:13188,5248232,746
M04808:132:000000000-CTP75:1:2109:28298:12906,5247943,830
M04808:132:000000000-CTP75:1:2109:15830:13097,5247718,830
M04808:132:000000000-CTP75:1:2109:29213:13339,5248213,1594
M04808:132:000000000-CTP75:1:2109:28784:12861,5247356,1047
M04808:132:000000000-CTP75:1:2109:23637:13238,5247175,1472
M04808:132:000000000-CTP75:1:2109:18545:13460,5247661,1110
M04808:132:000000000-CTP75:1:2109:22500:13031,5247913,319
M04808:132:000000000-CTP75:1:2109:23597:13041,5247672,563
M04808:132:000000000-CTP75:1:2109:9026:12984,5245812,2856
M04808:132:000000000-CTP75:1:2109:13629:13253,5248228,837
M04808:132:000000000-CTP75:1:2109:10741:13254,5247634,598
M04808:132:000000000-CTP75:1:2109:15129:13476,5248228,497
M04808:132:000000000-CTP75:1:2109:13126:13045,5247822,408
M04808:132:000000000-CTP75:1:2109:22811:14150,5248229,897
M04808:132:000000000-CTP75:1:2109:16712:14228,5247440,1504
M04808:132:000000000-CTP75:1:2109:29687:13399,5248227,398
M04808:132:000000000-CTP75:1:2109:22188:14718,5248223,887
M04808:132:000000000-CTP75:1:2109:15411:14738,5247389,2063
M04808:132:000000000-CTP75:1:2109:22719:15079,5246500,1741
M04808:132:000000000-CTP75:1:2109:15096:15084,5247921,313
M04808:132:000000000-CTP75:1:2109:14470:14373,5248228,253
M04808:132:000000000-CTP75:1:2109:17947:14396,5248223,2325
M04808:132:000000000-CTP75:1:2109:7330:15372,5247566,666
